sample	selected_count	subset_diversity	domain_pass_rate	mean_constraint_score	mean_conservation_score	mean_novelty_score	mean_uniqueness_score
167	20	0.7673850742	0.1	0.06841427271	0.3369565217	0.7642996973	0.771499397
168	20	0.8547089963	0.05	0.04836942836	0.2826086957	0.860770319	0.8244981001
169	20	0.7724258049	0.15	0.08527384435	0.3586956522	0.7411897562	0.7716793119
170	20	0.6523181112	0.1	0.0673275478	0.3239130435	0.7956307741	0.7260321886
171	20	0.792887408	0.1	0.02811004785	0.3391304348	0.81227141	0.7820508327
172	20	0.8141967952	0.1	0.03928917343	0.3	0.7969791781	0.7946339864
173	20	0.8266428031	0.1	0.03115520214	0.3239130435	0.8090219513	0.8015903405
174	20	0.8362557171	0.3	0.2227272727	0.4434782609	0.6863886192	0.8145260455
175	20	0.8074533535	0.05	0.04250818434	0.3130434783	0.8021108852	0.7923914693
176	20	0.837330269	0.15	0.07105263158	0.3608695652	0.7310039695	0.8076006348
177	20	0.8041037471	0.1	0.03755980861	0.3434782609	0.8160710395	0.7886386329
178	20	0.8268231813	0.2	0.1582403515	0.3826086957	0.7433886176	0.8014880352
179	20	0.6475400728	0.15	0.0908921411	0.3652173913	0.7626639157	0.7261343625
180	20	0.6097599524	0.1	0.08014354067	0.3065217391	0.8177015817	0.7108663999
181	20	0.7408416338	0.1	0.07517240377	0.3695652174	0.7755917692	0.7601520246
182	20	0.7607141195	0.1	0.0476076555	0.3043478261	0.8164179371	0.7664534466
183	20	0.8537378398	0.2	0.1558496213	0.3804347826	0.7466342885	0.8174788719
184	20	0.8665801998	0.15	0.09939513395	0.352173913	0.7813105147	0.8289705158
185	20	0.7052647031	0.1	0.05741626794	0.3	0.8197181934	0.7449708351
186	20	0.7793019472	0.1	0.07081339713	0.3152173913	0.7946093614	0.778861881
187	20	0.828804105	0.25	0.08014354067	0.4108695652	0.7047604177	0.8084105092
188	20	0.8489812547	0.25	0.1347437189	0.3847826087	0.7533252815	0.8162954484
189	20	0.7173640814	0.25	0.1327751196	0.452173913	0.6726649976	0.7529799472
190	20	0.7374481784	0.15	0.05442583732	0.3630434783	0.8047549535	0.7600985893
191	20	0.8485022718	0.2	0.08935406699	0.3847826087	0.7768073342	0.8111447225
192	20	0.8246475067	0.1	0.05412170932	0.3043478261	0.8211664939	0.8007550458
193	20	0.7424940019	0.05	0.04736164113	0.302173913	0.8113884465	0.762837094
194	20	0.8333661488	0.15	0.1542500436	0.3369565217	0.8091420876	0.8064550364
195	20	0.8209155805	0.05	0.02188995215	0.2847826087	0.8388425897	0.8047537155
196	20	0.8187821501	0.15	0.07989106923	0.3239130435	0.7684686559	0.7930758996
197	20	0.8259214325	0.2	0.1067933221	0.4304347826	0.7303963278	0.8029597541
198	20	0.866026053	0.2	0.1087867811	0.3608695652	0.7570592273	0.8305978935
199	20	0.7338856286	0.05	0.03485009912	0.302173913	0.8270642588	0.7577997005
200	20	0.7229722054	0.1	0.08671086531	0.297826087	0.8201593381	0.7547731895
201	20	0.6542460105	0.05	0.02296650718	0.25	0.8543042236	0.728354108
202	20	0.7621775289	0.1	0.07635727615	0.3108695652	0.8122346567	0.7695268066
203	20	0.8567499148	0.1	0.02319508746	0.3152173913	0.8011632699	0.8284598427
204	20	0.7710660846	0	0.0002324545261	0.2673913043	0.8658920968	0.778059367
205	20	0.8459784849	0.2	0.105861244	0.4260869565	0.7402579226	0.8135099781
206	20	0.8425069051	0.1	0.05864972977	0.3347826087	0.7771440769	0.8094296712
207	20	0.7339345835	0.05	0.0254784689	0.3173913043	0.8511963541	0.7611098312
208	20	0.7349551133	0.1	0.06733126061	0.297826087	0.8133979503	0.7573791362
209	20	0.7723212182	0.05	0.0408921411	0.2847826087	0.8451929515	0.7749103208
210	20	0.7779685609	0.2	0.1051435407	0.3717391304	0.7457862568	0.7755580764
211	20	0.8461664084	0.3	0.1655434593	0.4108695652	0.7146078659	0.8152432758
212	20	0.6858020883	0.2	0.1086124402	0.4130434783	0.7080092609	0.7360328181
213	20	0.809678658	0.15	0.08419728932	0.3717391304	0.7415550766	0.7897659475
214	20	0.8553874307	0.25	0.141659241	0.4282608696	0.6645771689	0.8242519006
215	20	0.8404400897	0.2	0.05311004785	0.3586956522	0.7790062826	0.8069859989
216	20	0.7708559899	0.2	0.1077644655	0.3826086957	0.7402335531	0.7713701202
217	20	0.8057884792	0.15	0.09227766693	0.3391304348	0.7640110971	0.7916929393
218	20	0.7302313421	0.15	0.09884531443	0.3369565217	0.7765093148	0.7563782792
219	20	0.825424029	0.1	0.04376925014	0.3195652174	0.8109780847	0.798259646
220	20	0.8045474969	0.25	0.1576555024	0.3652173913	0.7260024928	0.7921908364
221	20	0.779410347	0.25	0.1065682932	0.4152173913	0.723824153	0.7806590332
222	20	0.7149644876	0.1	0.09677033493	0.3326086957	0.82319871	0.7513950938
223	20	0.8123187076	0.05	0.06361408674	0.3108695652	0.8239438676	0.7952703967
224	20	0.8904533034	0.1	0.03765456612	0.302173913	0.8243676371	0.854370567
225	20	0.8192572098	0.2	0.1074162679	0.4065217391	0.7501013482	0.7961861829
226	20	0.6748133623	0.05	0.006220095694	0.2869565217	0.8249954427	0.7356409233
227	20	0.8671918573	0.35	0.1866028708	0.4891304348	0.6516037294	0.8347925938
228	20	0.7762134239	0.05	0.04508891386	0.2869565217	0.8407160858	0.7796688122
229	20	0.7030325796	0.1	0.04515041745	0.297826087	0.819636395	0.7451866401
230	20	0.7880470603	0.05	0.03528708134	0.3086956522	0.8541906723	0.7844640111
231	20	0.8609593088	0.15	0.115417385	0.3543478261	0.7798030132	0.821408688
232	20	0.8946948001	0.2	0.05700123976	0.3869565217	0.7327720642	0.8577317768
233	20	0.8334848798	0.1	0.0876116266	0.3065217391	0.7995048657	0.803715742
234	20	0.7826841814	0.05	0.05715314233	0.297826087	0.8281384179	0.7764665924
235	20	0.7734913858	0.15	0.0718118216	0.3782608696	0.7467924173	0.7762164818
236	20	0.795287202	0.2	0.127740542	0.3804347826	0.7479822824	0.7857701844
237	20	0.8123427348	0.25	0.143062201	0.4108695652	0.7234744627	0.7966883846
238	20	0.7673276357	0.05	0.03467575822	0.3130434783	0.8140281811	0.7732875056
239	20	0.8444247087	0.05	0.04693644306	0.2934782609	0.834685788	0.8084336315
240	20	0.8272722473	0.2	0.08839712919	0.3760869565	0.77795466	0.8024589725
241	20	0.6849054214	0.05	0.0437237278	0.297826087	0.8441578485	0.7388328308
242	20	0.7341267388	0.1	0.0726076555	0.3434782609	0.7886346341	0.756357585
243	20	0.8123403876	0.15	0.07020465684	0.3304347826	0.7604238911	0.7944517491
244	20	0.6850442315	0.1	0.06601805397	0.3195652174	0.7966680441	0.7379024744
245	20	0.8116093794	0.1	0.07414944243	0.3586956522	0.8038703557	0.7938619407
246	20	0.7820437163	0.15	0.1188746618	0.402173913	0.7599130915	0.7799045541
247	20	0.7027183523	0.1	0.06555023923	0.3260869565	0.8083262209	0.7445990761
248	20	0.7378580646	0.15	0.1166030645	0.3717391304	0.751784951	0.7597772149
249	20	0.6970688676	0	0.007884082676	0.2608695652	0.87699676	0.7452254158
250	20	0.6802811255	0.05	0.03575231325	0.3130434783	0.8074856072	0.7357750506
251	20	0.8257105675	0.25	0.05992822967	0.402173913	0.7254951929	0.8031555321
252	20	0.7639473665	0.15	0.05847958597	0.3456521739	0.7640466818	0.768474096
253	20	0.8066646813	0.05	0.01255302869	0.2543478261	0.8404524662	0.7922464966
254	20	0.8370207405	0.2	0.06866028708	0.4152173913	0.758954953	0.8056346737
255	20	0.8257069478	0.25	0.1705741627	0.4	0.7144398287	0.8015500471
256	20	0.7435863507	0.25	0.1270267129	0.4630434783	0.6677691661	0.7655165042
257	20	0.8220383027	0.2	0.1272727273	0.397826087	0.7189358425	0.8010703622
258	20	0.7565111078	0.05	0.04964114833	0.2891304348	0.842324883	0.7663273058
259	20	0.8256913289	0.25	0.1259569378	0.4326086957	0.6972564458	0.8030367368
260	20	0.6584796404	0.15	0.06165759448	0.3739130435	0.74974851	0.729297507
