sample	weight_constraint_score	weight_conservation_score	weight_novelty_score	weight_uniqueness_score	top_k_jaccard	rank_spearman
108	0.194848695655	0.265290530838	0.277303258607	0.2625575149	0.818181818182	0.95526214536
109	0.275936928635	0.290240359035	0.20864636116	0.225176351171	0.818181818182	0.980883335696
110	0.212393506348	0.250336576295	0.274391093591	0.262878823766	0.818181818182	0.975075433871
111	0.287007165692	0.216953044522	0.275278765296	0.22076102449	1	0.996079463761
112	0.214781526278	0.256318495574	0.281885044789	0.247014933359	0.818181818182	0.977886231547
113	0.214070533104	0.272608698022	0.21280457743	0.300516191444	0.904761904762	0.992968955671
114	0.295871370561	0.237293868888	0.228404679882	0.238430080669	0.904761904762	0.985063080942
115	0.274427296969	0.226406039574	0.256382832492	0.242783830965	1	0.997262104858
116	0.258147140645	0.21526839169	0.295639831016	0.230944636649	1	0.997302606266
117	0.237220020919	0.248423828253	0.243773059642	0.270583091186	1	0.997837224844
118	0.225321463098	0.263068074842	0.252127497593	0.259482964466	0.904761904762	0.995115530265
119	0.239836508911	0.241520181195	0.257814820415	0.26082848948	1	0.996913792754
120	0.240736101563	0.258889629439	0.261233783628	0.23914048537	1	0.998590551022
121	0.252711295053	0.23265680282	0.271545504229	0.243086397898	1	0.998687754399
122	0.222418461117	0.264185171344	0.270273384371	0.243122983168	0.904761904762	0.990862882485
123	0.245272088318	0.244634605707	0.257623539366	0.252469766609	1	0.998533849051
124	0.25738723432	0.224761169058	0.270487305498	0.247364291123	1	0.998874060874
125	0.244835413275	0.264430385653	0.237710039032	0.25302416204	1	0.999789392681
126	0.247715021188	0.261264978274	0.26440173986	0.226618260677	1	0.999643587615
127	0.240668474977	0.267367851212	0.221013696137	0.270949977674	1	0.999675988741
128	0.261878240414	0.222159329528	0.217560700383	0.298401729675	1	0.998914562281
129	0.232443434534	0.257891335379	0.263943214331	0.245722015755	0.904761904762	0.995966059821
130	0.233763386397	0.277083253105	0.203535344443	0.285618016056	1	0.999465381422
131	0.286133707096	0.237623870678	0.215722346473	0.260520075752	0.904761904762	0.989348129848
132	0.203063226132	0.226557707545	0.283415554962	0.286963511361	0.818181818182	0.95035337478
