sample	selected_count	subset_diversity	domain_pass_rate	mean_constraint_score	mean_conservation_score	mean_novelty_score	mean_uniqueness_score
187	20	0.4536708931	1	0.6959016393	0.9804347826	0.2692250189	0.4552484564
188	20	0.4212812807	1	0.7594262295	0.9913043478	0.212634094	0.4400660384
189	20	0.467439791	1	0.6327868852	0.9826086957	0.2824230257	0.4636960937
190	20	0.4837016538	1	0.6413934426	0.9760869565	0.303202972	0.4689417139
191	20	0.4067803011	1	0.7053278689	0.9804347826	0.2419462918	0.4340929582
192	20	0.4283823011	1	0.7110655738	0.9891304348	0.2251982106	0.4441028007
193	20	0.4783105593	1	0.6893442623	0.9934782609	0.2884081523	0.4665205651
194	20	0.4309311705	1	0.681557377	0.9782608696	0.2608378131	0.4434199094
195	20	0.3939122852	1	0.6979508197	0.9847826087	0.221615956	0.4289361665
196	20	0.4257963212	1	0.6024590164	0.9869565217	0.2392277013	0.4420042227
197	20	0.3857486464	1	0.6229508197	0.9695652174	0.2190094534	0.4247028577
198	20	0.4205620104	1	0.7262295082	0.9847826087	0.253484527	0.4393552409
199	20	0.4672256221	1	0.6987704918	0.9826086957	0.2981152546	0.4642609646
200	20	0.4582823153	1	0.5540983607	0.9804347826	0.2598625973	0.4569676544
201	20	0.4499734844	1	0.7512295082	0.9869565217	0.2463064418	0.4525406059
202	20	0.4865787696	1	0.5946721311	0.9826086957	0.3016025414	0.4738089676
203	20	0.4863745229	1	0.8040983607	0.9739130435	0.2859716461	0.4704521128
204	20	0.4781602058	1	0.6639344262	0.9934782609	0.2951335733	0.4684554917
205	20	0.3978973752	1	0.5340163934	0.9804347826	0.2392970665	0.4292109158
206	20	0.4637396098	1	0.7258196721	0.9891304348	0.2633034657	0.4578997254
207	20	0.481843221	1	0.7590163934	0.9739130435	0.2736668983	0.4692521077
208	20	0.4013260321	1	0.6467213115	0.9847826087	0.2348821071	0.4347985636
209	20	0.4882522637	1	0.6270491803	0.9782608696	0.3051143156	0.4760333173
210	20	0.4824620393	1	0.5868852459	0.9782608696	0.2888474652	0.4679380977
211	20	0.4447357394	1	0.6413934426	0.9804347826	0.2666760531	0.449502952
212	20	0.4596453966	1	0.7020491803	0.9891304348	0.2724007657	0.4600343636
213	20	0.4513244112	1	0.7155737705	0.9847826087	0.2766942624	0.4519469934
214	20	0.4730298245	1	0.6770491803	0.9826086957	0.2587104924	0.4649567778
215	20	0.460029598	1	0.6405737705	0.9869565217	0.2423033144	0.4596895941
216	20	0.4921067252	1	0.6229508197	0.9891304348	0.2727018656	0.4746316149
217	20	0.4250263066	1	0.7040983607	0.9913043478	0.2513664664	0.4424341806
218	20	0.4381313272	1	0.7430327869	0.9782608696	0.2614911182	0.4491289693
219	20	0.5127289018	1	0.5963114754	0.9847826087	0.3075835379	0.4859747563
220	20	0.439315501	1	0.6754098361	0.9913043478	0.2351963567	0.4462343748
221	20	0.427691099	1	0.6971311475	0.9891304348	0.2446184423	0.4427595688
222	20	0.4166658058	1	0.6545081967	0.9869565217	0.247711243	0.438839605
223	20	0.433792008	1	0.6971311475	0.9782608696	0.2383794989	0.4459175905
224	20	0.5495949763	1	0.6569672131	0.9673913043	0.3375983692	0.5063359518
225	20	0.4482997572	1	0.687295082	0.9913043478	0.2722610189	0.4555073732
